movie_id,company_id,revenue,budget
862,3,373554033,30000000
8844,10201,262797249,65000000
15602,19464,0,0
31357,306,81452156,16000000
11862,9195,76578911,0
949,6194,187436818,60000000
11860,58079,0,58000000
45325,2,0,0
9091,23770,64350171,35000000
710,7576,352194034,58000000
9087,97,107879496,62000000
12110,6368,0,0
21032,4105,11348324,0
10858,1504,13681765,44000000
1408,14723,10017322,98000000
524,11584,116112375,52000000
4584,932,135000000,16500000
5,59,4300000,4000000
9273,10210,212385533,30000000
11517,5,35431113,60000000
8012,8411,115101622,30250000
1710,10104,0,0
9691,25061,30303072,50000000
12665,915,0,0
451,15547,49800000,3600000
16420,97,0,0
9263,12,27400000,12000000
17015,288,0,0
902,79439,1738611,18000000
37557,23647,0,0
9909,10288,180000000,0
63,17031,168840000,29500000
78802,70801,0,0
9598,2537,254134910,30000000
47018,44821,0,0
687,10163,39363635,11000000
139405,53390,0,0
33689,89131,0,0
9603,4,0,12000000
34615,89840,676525,0
31174,34237,0,0
11443,915,0,10000000
35196,14,0,19000000
9312,4174,122195920,18000000
577,441,21284514,20000000
11861,56,23574130,10000000
807,65394,327311859,33000000
10530,10217,346079773,55000000
8391,2480,0,0
629,9168,23341568,6000000
11448,1030,6700000,15000000
26441,175,0,0
97406,7832,0,0
124057,10260,0,0
9089,1382,17519169,0
11359,862,0,45000000
17182,4,0,20000000
2054,10201,106269971,0
10607,5441,0,0
19760,10210,0,0
9536,38003,0,15000000
11525,12,2409225,0
40628,14,0,0
4482,5358,0,0
10634,12,28215918,3500000
755,53009,25836616,19000000
11859,6194,11534477,50000000
28387,5842,718490,0
48750,22123,0,0
20927,4286,19030691,0
36929,10210,2042530,15000000
9102,23098,5781885,20000000
124626,93174,0,0
27526,14,0,0
9623,441,0,44000000
46785,38954,0,0
400,14,529766,8000000
880,577,0,900000
146599,38197,0,0
8447,8888,0,0
10534,1645,10300000,38000000
17414,3311,0,16000000
13997,4,32,0
2086,4,8175346,8169363
61548,4665,0,0
9095,18737,12379402,47000000
12158,4,19800000,14000000
9283,979,0,0
9208,11362,150270147,50000000
40154,75942,0,0
406,68518,0,3000000
45549,181,0,0
63076,12913,0,0
11062,97,0,0
13685,441,560069,7000000
47475,9195,0,0
2045,10355,0,18000000
9614,3929,41205099,12000000
688,6194,182016617,24000000
10874,6254,34327391,0
197,11353,210000000,72000000
103,46060,28262574,1300000
33542,2521,32392047,7500000
43566,915,0,35000000
71754,85045,0,0
43612,885,0,13365000
16934,3236,0,0
10324,11061,0,0
78406,11308,6278139,25000000
55731,559,0,0
11066,4,70100000,40000000
11104,10932,0,0
37975,371,0,0
2074,14,14702438,7000000
27793,53009,0,17000000
44284,71842,0,0
73067,5358,0,0
11863,4,9851610,50000000
55475,93489,0,0
9101,306,0,0
123360,68229,0,0
39428,94478,0,0
9302,9195,0,60000000
11000,60,185260553,31000000
16388,43,0,0
9737,10288,141407024,19000000
30765,6194,0,0
10474,3492,0,0
22279,16027,851545,4000000
30157,37909,0,0
568,33,355237933,52000000
11780,8989,31596911,28000000
34996,5353,0,0
414,31080,336529144,100000000
649,11290,0,0
1873,97,0,0
5894,30334,1275000,2000000
1775,1382,178104,11000000
8839,11098,287928194,50000000
20649,4319,13071518,25000000
10329,7383,152022101,50000000
8963,10288,157387195,53000000
26564,4532,3174695,0
8068,11705,25405445,7000000
8512,2510,16140822,27000000
1572,1504,366101666,90000000
13552,18902,0,0
259209,20740,0,0
6520,10158,127600435,55000000
9073,6194,0,0
10428,87394,7563728,20000000
17447,12910,0,0
9886,2480,19075720,25000000
9482,1504,113493481,90000000
19326,559,17014653,0
9344,14,7412216,1500000
9071,13190,1148752,500000
8973,3557,0,0
15730,35859,0,0
47608,9195,15453274,0
2293,16934,2122561,6000000
9070,9255,66000000,15000000
68274,10163,0,0
48787,38960,1,2
34574,37897,0,0
1642,5,110627965,22000000
11472,436,69660733,0
36196,37890,472370,150000
11980,7405,16,8
58372,28205,0,0
32646,39861,0,0
10533,1504,10382407,50000000
10802,14723,20350754,45000000
10149,14,8349430,7000000
18402,16368,50892160,0
9348,8411,113374103,35000000
139408,6194,0,0
281,574,7959291,42000000
5967,14680,0,0
79593,10201,5780000,14000000
47939,11308,7025496,0
36834,16027,339889,0
9090,56,47774193,0
3512,63906,104324083,60000000
52856,915,0,0
9560,2851,50012507,20000000
9804,6092,264218220,175000000
31611,11661,0,8000000
65796,60,0,30000000
49805,4,0,0
26258,306,0,0
50797,6454,2616503,2800000
19155,12745,763847,0
76,6194,5535405,2500000
11017,6365,26488734,10000000
37141,18189,0,0
9382,16192,23450000,21000000
6715,1595,0,0
18256,4867,0,0
22625,23808,0,0
2292,16934,3151130,27000
1909,70,22200000,25000000
8984,11407,214015089,55000000
61813,52095,0,0
4954,4,0,45000000
62488,11661,0,0
10531,68141,0,0
11929,441,0,0
8467,11061,247275374,16000000
10451,25345,7294403,0
20156,12800,0,0
18395,11308,6841570,0
522,9195,5887457,18000000
397,34207,0,0
10525,97,0,0
27985,306,0,0
15789,2,35348597,0
27303,559,12201255,15000000
21183,21,0,0
10954,37581,0,0
72031,14,0,0
14275,13042,7830611,700000
1024,2306,3049135,5000000
17207,915,26325256,10500000
13701,4564,0,120
14819,175,17689177,0
32631,11393,0,0
11777,4,0,25000000
628,360,223664608,60000000
87729,9195,2474000,14000000
18713,9195,0,0
6280,8816,37000000,60000000
9061,36854,0,0
37108,4063,0,0
6071,306,0,40000000
11,306,775398007,11000000
9587,5,0,18000000
19101,6194,0,17000000
49980,983,0,0
17961,9209,0,10000000
18183,84804,21665468,2000000
4476,1656,160638883,30000000
11008,33,0,0
47504,285,0,0
32325,36836,0,0
43742,6194,0,60000000
28313,4,7603766,17000000
11318,23022,0,0
3036,559,112006296,45000000
40490,2,0,0
24070,559,0,15000000
8986,862,18137661,0
10510,306,46264384,0
17402,915,5,6
38722,89873,0,5500000
8438,6194,17381942,0
11593,761,0,0
1945,1382,106683817,31000000
39310,4319,0,0
109560,42935,0,0
56428,11139,0,4800000
63105,21437,0,0
131957,23098,0,0
241,68551,50282766,34000000
9058,559,0,0
527,295,2201126,0
18220,17068,0,0
6950,16775,189859560,50000000
101,9,45284974,16000000
63020,28205,2832826,11000000
2307,915,0,0
680,216,213928762,8000000
41478,37580,6834525,0
25296,5528,152322,400000
40156,53009,4176932,0
11450,11407,0,0
30304,84840,0,0
10452,75913,0,0
12106,559,18552460,32000000
161495,12883,12400000,22000000
3586,14,11300653,15000000
110,1245,0,0
108,1610,0,0
109,850,0,0
92769,24946,0,0
28033,4,0,0
22586,4108,9771658,35000000
14334,29273,0,0
2636,11134,170362582,45000000
2164,10320,196567262,55000000
11395,915,189833357,22000000
278,6194,28341469,25000000
9905,1382,0,0
87078,78701,102780,0
12527,10015,0,0
20306,4063,0,0
36614,798,0,32
27993,4734,0,0
31439,25299,0,0
9067,2231,4064495,25000000
9059,69626,0,0
193,4,120000000,38000000
25066,11308,12000000,6000000
12122,33,0,0
11381,4,32648673,0
32636,58,0,0
36141,14729,0,6500000
95963,37350,0,0
1587,4,10032765,11000000
9271,4,24048000,30000000
2064,915,182057016,17000000
19855,33,0,0
60855,36024,759393,0
236,39250,15119639,3000000
48287,10157,0,0
3049,10210,107217396,15000000
2759,1382,11220670,0
12635,37,0,0
10497,8131,1862805,5000000
11382,14,0,0
9331,2767,215887717,62000000
10731,6194,117615211,45000000
10464,12,0,0
34152,4319,0,0
9495,6455,94000000,15000000
29973,16823,1007583,0
888,1353,341631208,46000000
13,4,677945399,55000000
712,10163,254700832,6000000
16295,1947,38290723,0
48992,37295,1777020,0
10879,9195,61947267,45000000
10660,559,0,0
41647,12916,449707,0
8587,10217,788241776,45000000
1689,14,4858139,35000000
11596,12,18090181,14000000
854,552,351583407,23000000
9359,6194,0,0
23333,14,0,0
36593,4,51132598,30000000
12280,33,0,6000000
2788,216,20079850,11500000
10427,1382,2000000,8000000
11011,6194,0,40000000
49803,12,0,0
8987,662,0,45000000
1637,306,350448145,30000000
15128,8411,0,0
8831,4248,101646581,27000000
36955,574,378882411,115000000
10449,9195,50021959,0
10395,5,0,0
12160,24217,25052000,63000000
40480,21857,0,0
52038,11358,953,0
29444,1382,0,0
26352,915,29392418,10000000
39953,25583,0,0
315,170,0,45000
18242,6217,0,0
11667,7220,99423521,35000000
32502,33419,0,0
28732,16835,0,0
75555,37300,0,0
42981,90509,0,0
278939,888,0,0
291731,38289,0,0
203119,38276,0,0
8011,30655,36800000,26000000
2654,12,8946600,8000000
18069,12,0,0
19092,12,0,0
2758,258,48919043,0
38129,21222,0,0
10436,5,32255440,34000000
13595,3929,0,0
46094,82607,21011500,17080000
