movie_id,original_title,release_date
862,Toy Story,1995-10-30
8844,Jumanji,1995-12-15
15602,Grumpier Old Men,1995-12-22
31357,Waiting to Exhale,1995-12-22
11862,Father of the Bride Part II,1995-02-10
949,Heat,1995-12-15
11860,Sabrina,1995-12-15
45325,Tom and Huck,1995-12-22
9091,Sudden Death,1995-12-22
710,GoldenEye,1995-11-16
9087,The American President,1995-11-17
12110,Dracula: Dead and Loving It,1995-12-22
21032,Balto,1995-12-22
10858,Nixon,1995-12-22
1408,Cutthroat Island,1995-12-22
524,Casino,1995-11-22
4584,Sense and Sensibility,1995-12-13
5,Four Rooms,1995-12-09
9273,Ace Ventura: When Nature Calls,1995-11-10
11517,Money Train,1995-11-21
8012,Get Shorty,1995-10-20
1710,Copycat,1995-10-27
9691,Assassins,1995-10-06
12665,Powder,1995-10-27
451,Leaving Las Vegas,1995-10-27
16420,Othello,1995-12-15
9263,Now and Then,1995-10-20
17015,Persuasion,1995-09-27
902,La Cité des Enfants Perdus,1995-05-16
37557,摇啊摇，摇到外婆桥,1995-04-30
9909,Dangerous Minds,1995-08-11
63,Twelve Monkeys,1995-12-29
78802,"Guillaumet, les ailes du courage",1996-09-18
9598,Babe,1995-07-18
47018,Carrington,1995-11-08
687,Dead Man Walking,1995-12-29
139405,Across the Sea of Time,1995-10-20
33689,It Takes Two,1995-11-17
9603,Clueless,1995-07-19
34615,"Cry, the Beloved Country",1995-12-15
31174,Richard III,1995-12-29
11443,Dead Presidents,1995-10-06
35196,Restoration,1995-12-29
9312,Mortal Kombat,1995-08-18
577,To Die For,1995-05-20
11861,How To Make An American Quilt,1995-10-06
807,Se7en,1995-09-22
10530,Pocahontas,1995-06-14
8391,When Night Is Falling,1995-05-05
629,The Usual Suspects,1995-07-19
117164,Guardian Angel,1994-11-22
11448,Mighty Aphrodite,1995-09-13
49133,Lamerica,1994-01-01
26441,The Big Green,1995-09-29
97406,Georgia,1995-05-19
124057,Kids of the Round Table,1997-07-08
9089,Home for the Holidays,1995-11-02
11010,Il postino,1994-09-22
99040,Le confessionnal,1995-09-29
11359,The Indian in the Cupboard,1995-07-14
17182,Eye for an Eye,1996-01-12
2054,Mr. Holland's Opus,1995-12-29
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12
19760,Two If by Sea,1996-01-12
9536,Bio-Dome,1996-01-12
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12
40628,Two Bits,1995-10-22
4482,Gazon maudit,1995-02-08
10634,Friday,1995-04-26
755,From Dusk Till Dawn,1996-01-19
11859,Fair Game,1995-11-03
28387,Kicking and Screaming,1995-10-06
48750,Les misérables,1995-03-22
20927,Bed of Roses,1996-01-26
36929,Big Bully,1996-01-26
9102,Screamers,1995-09-08
124626,Nico Icon,1995-02-18
27526,The Crossing Guard,1995-11-15
9623,The Juror,1996-02-02
46785,بادکنک سفید,1995-01-01
400,Things to Do in Denver When You're Dead,1995-12-01
